Site Name	Owner	Company CEO	CEO Annual Pay	Company Net Profit	Company Reported MT of Salmon harvested in a year	Latitude	Longitude	Farm Type	Type of Salmon Grown	Brand Names Sold Under	Date Registered	National Grid Reference	Nation	Region or Province	Local Authority	Location	Farm Site Licensed 2017-2020?	Feed Discharged Per Year In Metric Tons (MT)	Reported Green House Gas (GHG) C02 MT emissions from feed discharged per annum	Salmon Grown Per Year	Approx. effluent rate based on stocking size	Algae Blooms	# Salmon Mortalities 2012-2020	Locally Reported Impact on Wildlife and Area	Lifetime Reported Escapes 1998-2020	Infectious Salmon Anaemia Virus Outbreak 2012-2020 (ISAv)	Piscine Reovirus Outbreak (PRV)	Infectious Pancreatic Necrosis Virus Confirmed 2012-2020 (IPNv)	Sealice Outbreaks	Sealice Treatments	Florfenicol Treatments	Reported SLICE®, emamectin benzoate (EMB)Treatments
Unidentified Farm Site #1-BC	?	N/A	N/A	N/A	N/A	50.521612	-128.008833	Sea Farm	N/A	N/A	N/A	N/A	Canada	British Columbia	Winter Harbour	Western Shore-Vancouver Island, BC	N/A	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Doctor Bay	622335 British Columbia Ltd. (Saltstream Engineering)	N/A	N/A	N/A	N/A	50.251259	-124.819554	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	N/A	N/A	N/A	Canada	British Columbia	West Redonda Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	230	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Doctor Bay Hatchery	622335 British Columbia Ltd. (Saltstream Engineering)	N/A	N/A	N/A	N/A	50.251259	-124.819554	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	N/A	N/A	N/A	Canada	British Columbia	West Redonda Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Bare Bluff	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.327131	-125.798598	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Bedwell Sound, North Shore	Western Shore-Vancouver Island, BC	Fallow	Info coming soon	Info coming soon	3960	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Barkley	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	48.943211	-124.987057	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	San Mateo Bay, Barkley Dist.	Western Shore-Vancouver Island, BC	Fallow	Info coming soon	Info coming soon	300	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Bawden Point	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.307584	-126.00694	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Herbert Inlet	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Bedwell	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.265398	-125.81237	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Bedwell Sound, East Shore	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	3960	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Binns Island	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.341758	-125.952754	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Herbert Inlet	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Boot Lagoon Hatchery	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.323969	-124.991576	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Port Alberni	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Brent Island, Okisollo Channel	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.2861	-125.349172	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Okisollo Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
