processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
ANGBF40981-19	MH823507	10139339	NA	NA	Mined from GenBank, NCBI	NA	BOLD:ACA5470	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4154	Coregonus	963923	Coregonus sp. 196_peled	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Russia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANGBF41143-19	HQ693244	10139501	NA	NA	Mined from GenBank, NCBI	NA	BOLD:ACH6088	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	498707	Parahucho	665991	Parahucho perryi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Russia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANGBF41283-19	LC424298	10139641	NA	NA	Mined from GenBank, NCBI	NA	BOLD:ACH7225	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4160	Salvelinus	607261	Salvelinus leucomaenis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Japan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANGBF55951-19	MK270623	10854036	NA	NA	Mined from GenBank, NCBI	NA	BOLD:AAC3575	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4160	Salvelinus	964370	Salvelinus fontinalis x Salvelinus malma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAFL493-20	Fish335	11291709	OLML	Fish335	Oberoesterreichisches Landesmuseum, Biologiezentrum, Linz	NA	BOLD:ACA5470	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4154	Coregonus	NA	NA	NA	NA	Wolfgang Gessl	morphological	NA	NA	Vouchered:Registered Collection	Finclip	NA	Gessl, Wolfgang	NA	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Austria	Upper Austria	Unterach	NA	Attersee	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAFL706-20	Fish690	11291922	NMW-99053	Fish690	Naturhistorisches Museum Wien	NA	BOLD:ACA5470	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4154	Coregonus	NA	NA	NA	NA	Wolfgang Gessl	morphological	NA	NA	Vouchered:Registered Collection	Finclip	NA	Hahn, Christoph	NA	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Austria	Upper Austria	Hallstatt	NA	Hallstatter See	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAFL707-20	Fish691	11291923	NMW-99053	Fish691	Naturhistorisches Museum Wien	NA	BOLD:ACA5470	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4154	Coregonus	NA	NA	NA	NA	Wolfgang Gessl	morphological	NA	NA	Vouchered:Registered Collection	Finclip	NA	Hahn, Christoph	NA	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Austria	Upper Austria	Hallstatt	NA	Hallstatter See	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAFL724-20	Fish708	11291940	NMW-99054	Fish708	Naturhistorisches Museum Wien	NA	BOLD:ACA5470	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4154	Coregonus	NA	NA	NA	NA	Wolfgang Gessl	morphological	NA	NA	Vouchered:Registered Collection	Finclip	NA	Gessl, Wolfgang	NA	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Austria	Upper Austria	Hallstatt	NA	Halltsatter See	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAFL725-20	Fish709	11291941	NMW-98999	Fish709	Naturhistorisches Museum Wien	NA	BOLD:ACA5470	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4154	Coregonus	NA	NA	NA	NA	Wolfgang Gessl	morphological	NA	NA	Vouchered:Registered Collection	Finclip	NA	Gessl, Wolfgang	NA	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Austria	Lower Austria	Waldviertel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCF535-07	BCF-642-1	537890	NA	BCF-0642-1	Centre for Biodiversity Genomics	NA	BOLD:AAA4127	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4160	Salvelinus	85583	Salvelinus namaycush	NA	NA	NA	NA	Walbaum, 1792	NA	NA	NA	NA	Eric Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAO-02	Voucher type : tissue	NA	NA	NA	NA	NA	NA	NA	NA	Canada	British Columbia	NA	NA	Minnewanka lake	NA	NA	NA	NA	NA	NA	NA	NA	NA
